,EXT_SOURCE_MEAN,EXT_23_PRODUCT,EXT_MAX,EXT_123_PRODUCT,EXT_13_PRODUCT,EXT_MIN,EXT_SOURCE_3,EXT_12_PRODUCT,EXT_SOURCE_2,EXT_SOURCE_1,CC_UTILIZATION_MEAN,BUREAU_DAYS_CREDIT_MEAN,CC_BALANCE_MEAN,BB_MONTHS_COUNT_MEAN,DAYS_BIRTH,AGE_YEARS,PREV_REFUSAL_RATE,BUREAU_ACTIVE_SHARE,BUREAU_DAYS_CREDIT_MIN,DAYS_EMPLOYED,INST_RECENT_365_DPD_MAX,INST_UNDERPAY_RATE,EMPLOYED_BIRTH_RATIO,BUREAU_ACTIVE_COUNT,TARGET
EXT_SOURCE_MEAN,1.0,0.9088062017462428,0.8429840827006754,0.9310053009071309,0.8585385041280952,0.8799426212123554,0.7040122867608941,0.8692133553762326,0.7493282677924981,0.7415827204428049,-0.1700125185553881,-0.3153639446008069,-0.061353462282389915,0.28590598556514923,-0.2798633827064503,0.2798633827064437,-0.12376078415862826,-0.2355175588851614,-0.23273644317934264,-0.17978479260291869,-0.06735953563804847,-0.08252843498276066,0.12799640204580387,-0.20615429017109718,-0.2220519555735911
EXT_23_PRODUCT,0.9088062017462428,1.0,0.6541655357277688,0.8236612393971733,0.6349206325264164,0.8822199742631608,0.7357849055893565,0.5570292835677492,0.7046496439780833,0.25065299986178474,-0.18361644344059394,-0.3354704996976474,-0.08664618235434883,0.30679260557930876,-0.182668281589062,0.18266828158906115,-0.15468328121127337,-0.26334530313291665,-0.20944612856096556,-0.14235870456027055,-0.07907916834652741,-0.09930021163375376,0.11235870515550268,-0.2687486962328622,-0.1994865836913118
EXT_MAX,0.8429840827006754,0.6541655357277688,1.0,0.6631364897998604,0.6613711744918678,0.5097545866395511,0.581230315651189,0.6862835280334756,0.6249586967418672,0.6426698266014128,-0.13914163127312423,-0.2820484124064491,-0.03988665298349903,0.25596384027535096,-0.21643404400567143,0.21643404400566768,-0.08791791959234911,-0.2142626735369594,-0.22996387419898606,-0.15749233685232134,-0.059174394386378455,-0.05931631965858617,0.11969585276964798,-0.13772409159938645,-0.19687609781973162
EXT_123_PRODUCT,0.9310053009071309,0.8236612393971733,0.6631364897998604,1.0,0.8787033208799314,0.9184486479928026,0.6186315651023032,0.8348504372726533,0.561639396781651,0.6815499274586724,-0.1697859836501266,-0.33134321774042125,-0.07342663233987473,0.2966119283630306,-0.43697277201749224,0.4369727720174975,-0.13609364872008547,-0.22239256565907312,-0.239407695734002,-0.22170600836376414,-0.06837023363063063,-0.09583813261082702,0.13921678492391457,-0.18913180515715872,-0.18855210092145977
EXT_13_PRODUCT,0.8585385041280952,0.6349206325264164,0.6613711744918678,0.8787033208799314,1.0,0.7961615025643272,0.7274085094893689,0.640289379744897,0.19712394150101611,0.7609770063182286,-0.18195262914948176,-0.36895889012968874,-0.09115577295347568,0.32555477120402065,-0.505040774935618,0.5050407749356229,-0.15327487759391087,-0.2667310322833421,-0.26381555248124233,-0.23983503525081204,-0.07043954438987952,-0.10599375847870494,0.1478840058591809,-0.2285604593739901,-0.18783159920201478
EXT_MIN,0.8799426212123554,0.8822199742631608,0.5097545866395511,0.9184486479928026,0.7961615025643272,1.0,0.6284761071793463,0.7827230689627774,0.6628254490290342,0.6193123338989323,-0.15296380176942406,-0.26163327999217656,-0.06570654491774539,0.23533304388666795,-0.26398272410765605,0.26398272410766,-0.12261927688351928,-0.1928211219972198,-0.17379417773262168,-0.15334179243197013,-0.057193299095791954,-0.08132766939465814,0.1023158709095977,-0.21252583665599836,-0.18526619522051707
EXT_SOURCE_3,0.7040122867608941,0.7357849055893565,0.581230315651189,0.6186315651023032,0.7274085094893689,0.6284761071793463,1.0,0.18757915381083193,0.10916729237112036,0.18684550770038874,-0.20836796087645135,-0.40175260449817546,-0.12251751808237356,0.36357313630416216,-0.2054776029977802,0.20547760299778983,-0.19473048172244772,-0.3575321937673447,-0.2263484554736766,-0.1297216966659496,-0.08375296553315564,-0.11831359023975734,0.10381014685435605,-0.3905911655729497,-0.17891869762836912
EXT_12_PRODUCT,0.8692133553762326,0.5570292835677492,0.6862835280334756,0.8348504372726533,0.640289379744897,0.7827230689627774,0.18757915381083193,1.0,0.6959108767236898,0.8084037925024352,-0.10585400089097553,-0.19172961131509828,-0.014746823652784763,0.1629950918285884,-0.4769173141902577,0.47691731419025307,-0.05486533626621126,-0.08270352243430425,-0.19861719091374505,-0.2201422900181086,-0.038810796286681916,-0.044138277992666154,0.12627284428095023,0.012174966396690955,-0.1755747216774738
EXT_SOURCE_2,0.7493282677924981,0.7046496439780833,0.6249586967418672,0.561639396781651,0.19712394150101611,0.6628254490290342,0.10916729237112036,0.6959108767236898,1.0,0.21398238316333346,-0.08163525919741138,-0.10324425704646889,-0.002369202684087411,0.0934811789609323,-0.09199587015386387,0.09199587015386407,-0.03902353633348081,-0.041301075027420815,-0.1013673909919458,-0.09344429445057285,-0.03805908505029888,-0.03019962350795111,0.07215177380958776,-0.002597590247722745,-0.16047167160520673
EXT_SOURCE_1,0.7415827204428049,0.25065299986178474,0.6426698266014128,0.6815499274586724,0.7609770063182286,0.6193123338989323,0.18684550770038874,0.8084037925024352,0.21398238316333346,1.0,-0.09561045970713619,-0.20180017210099957,-0.021544523718239974,0.16133339801789945,-0.600609973950311,0.600609973950311,-0.051708769144395504,-0.09525205369021308,-0.21988248711271974,-0.2527116565308188,-0.02945589984749624,-0.04126071741682448,0.13885442720199115,0.02743236524299786,-0.15531712606395018
